Rank	Player	Team	Position	Tier	Tag	Notes
461	Cedrick Wilson Jr.	DET	WR	Tier 8		 | VORP: -128.9 | Proj: 9.8pts | ⭐ Top-10 Eco (Drew Petzing)
463	Kareem Hunt	FA	RB	Tier 8		 | VORP: -129.1 | Proj: 17.3pts | Scheme: nan • OL #16
464	Terrell Jennings	FA	RB	Tier 8		 | VORP: -129.8 | Proj: 16.5pts | Scheme: nan • OL #16
465	Chris Blair	ATL	WR	Tier 8		 | VORP: -130.6 | Proj: 8.2pts | Scheme: Kevin Stefanski/Rees • 🚨 2-WR Bench Risk (54%)
465	Michael Woods II	DEN	WR	Tier 8		 | VORP: -130.6 | Proj: 8.2pts | Scheme: Sean Payton/Webb • 🛡️ Top-5 OL (#1) • 🎯 Pass-Funnel RZ (Sean Payton) • ⚡ 3-WR Slot Heavy (17%)
467	Devin Neal	NO	RB	Tier 8		 | VORP: -131.4 | Proj: 14.9pts | Scheme: Kellen Moore • OL #22
468	J'Mari Taylor	JAC	RB	Tier 8		 | VORP: -131.7 | Proj: 14.7pts | Scheme: Liam Coen • OL #23
469	Elijah Moore	PHI	WR	Tier 8		 | VORP: -132.2 | Proj: 6.6pts | ⭐ Top-10 Eco (Sean Mannion) • 🛡️ Top-5 OL (#2)
469	Reggie Virgil	ARI	WR	Tier 8		 | VORP: -132.2 | Proj: 6.6pts | Scheme: Mike LaFleur
471	Michael Burton	CLE	RB	Tier 8		 | VORP: -132.3 | Proj: 14.0pts | Scheme: Todd Monken • ⚠️ Bad OL (#32)
472	Eli Heidenreich	PIT	RB	Tier 8		 | VORP: -132.4 | Proj: 13.9pts | Scheme: Mike McCarthy • OL #19
473	Khalil Herbert	SF	RB	Tier 8		 | VORP: -132.6 | Proj: 13.8pts | ⭐ Top-10 Eco (Kyle Shanahan) • OL #6 • 👑 Elite GL Run (68% Run - CMC TDs)
474	Isaac Guerendo	SF	RB	Tier 8		 | VORP: -132.6 | Proj: 13.7pts | ⭐ Top-10 Eco (Kyle Shanahan) • OL #6 • 👑 Elite GL Run (68% Run - CMC TDs)
475	Rasheen Ali	BAL	RB	Tier 8		 | VORP: -133.0 | Proj: 13.3pts | ⭐ Top-10 Eco (Declan Doyle) • ⚠️ Bad OL (#26) • 👑 Elite GL Run (72% Run - Henry/Lamar TDs)
476	Jerome Ford	WAS	RB	Tier 8		 | VORP: -133.7 | Proj: 12.7pts | Scheme: David Blough • ⚠️ Bad OL (#25)
477	Antonio Gibson	FA	RB	Tier 8		 | VORP: -133.8 | Proj: 12.5pts | Scheme: nan • OL #16
478	Van Jefferson	WAS	WR	Tier 8		 | VORP: -133.9 | Proj: 4.9pts | Scheme: David Blough • ⚠️ Bad OL (#25)
478	Tyler Lockett	LV	WR	Tier 8		 | VORP: -133.9 | Proj: 4.9pts | Scheme: Klint Kubiak
480	Alec Ingold	LAC	RB	Tier 8		 | VORP: -134.0 | Proj: 12.3pts | Scheme: Mike McDaniel • OL #9 • 👑 Elite GL Run (71% Run - Hampton TDs)
481	Phil Mafah	DAL	RB	Tier 8		 | VORP: -134.5 | Proj: 11.8pts | ⭐ Top-10 Eco (Brian Schottenheimer) • OL #15
482	Tyler Goodson	ATL	RB	Tier 8		 | VORP: -135.3 | Proj: 11.1pts | Scheme: Kevin Stefanski/Rees • OL #11 • 👑 Elite GL Run (70% Run - Bijan TDs)
483	Velus Jones Jr.	SEA	WR	Tier 8		 | VORP: -135.5 | Proj: 3.3pts | Scheme: Brian Fleury • 🚨 2-WR Bench Risk (47%)
484	Roman Hemby	LV	RB	Tier 8		 | VORP: -135.8 | Proj: 10.5pts | Scheme: Klint Kubiak • OL #24
485	Joe Mixon	FA	RB	Tier 8		 | VORP: -136.5 | Proj: 9.8pts | Scheme: nan • OL #16
486	Jalen Reagor	MIA	WR	Tier 8		 | VORP: -137.1 | Proj: 1.6pts | ⭐ Top-10 Eco (Bobby Slowik) • ⚠️ Bad OL (#30) • 🎯 Pass-Funnel RZ (59% Pass)
487	Adam Prentice	DEN	RB	Tier 8		 | VORP: -138.1 | Proj: 8.3pts | Scheme: Sean Payton/Webb • 🛡️ Top-5 OL (#1)
488	Travis Homer	PIT	RB	Tier 8		 | VORP: -138.1 | Proj: 8.2pts | Scheme: Mike McCarthy • OL #19
489	Ronnie Rivers	LAR	RB	Tier 8		 | VORP: -139.7 | Proj: 6.6pts | ⭐ Top-10 Eco (Sean McVay) • 🛡️ Top-5 OL (#3)
490	Max Bredeson	MIN	RB	Tier 8		 | VORP: -139.8 | Proj: 6.6pts | Scheme: Kevin O'Connell • OL #12
490	Nathan Carter	ATL	RB	Tier 8		 | VORP: -139.8 | Proj: 6.6pts | Scheme: Kevin Stefanski/Rees • OL #11 • 👑 Elite GL Run (70% Run - Bijan TDs)
492	Reggie Gilliam	NE	RB	Tier 8		 | VORP: -141.4 | Proj: 4.9pts | Scheme: Josh McDaniels • OL #13
