Rank,Player,Team,Position,Tier,Notes
189,Pat Freiermuth,PIT,TE,Tier T8,[TIER 5] FP: 86.6pts (VORP: -31.4) | OL: 3.5/5
190,Xavier Worthy,KC,WR,Tier T8,[💤SLEEPER][TIER 8] FP: 119.1pts (VORP: -31.5) | OL: 3.0/5
191,Wan'Dale Robinson,TEN,WR,Tier T8,[🚫AVOID][TIER 7] FP: 105.6pts (VORP: -32.4) | OL: 2.0/5
192,Sam Darnold,SEA,QB,Tier T8,[TIER 5] FP: 247.2pts (VORP: -32.8) | OL: 3.5/5 | 2-WR: 47%
193,Deebo Samuel Sr.,SF,WR,Tier T8,[💤SLEEPER][TIER 8][⭐TOP OFFENSE] #7 49ers Offense - Most Undervalued Asset | FP: 121.5pts (VORP: -33.7) | OL: 4.0/5 | 2-WR: 48%
194,Kenyon Sadiq,NYJ,TE,Tier T8,[TIER 5][🔥CATALYST] New Situation (Rookie) + O/S Top 100 | FP: 73.4pts (VORP: -34.6) | OL: 3.0/5
195,Evan Engram,DEN,TE,Tier T8,[TIER 8] FP: 82.8pts (VORP: -34.9) | OL: 5.0/5
196,Gunnar Helm,TEN,TE,Tier T8,[TIER 5] FP: 83.6pts (VORP: -35.7) | OL: 2.0/5
197,Kenny Gainwell,TB,RB,Tier T8,[🚫AVOID][TIER 9][🥈SILVER] FP: 146.8pts (VORP: -36.6) | OL: 4.0/5 | %RB1: 75%
198,Tre Tucker,LV,WR,Tier T8,[TIER 9] FP: 108.9pts (VORP: -36.8) | OL: 2.5/5
199,Charlie Kolar,LAC,TE,Tier T8,[TIER 9] FP: 101.0pts (VORP: -38.0) | OL: 3.0/5
200,Khalil Shakir,BUF,WR,Tier T8,[🚫AVOID][TIER 8][🔬TALENT 92] FP: 108.9pts (VORP: -38.9) | OL: 4.5/5
201,Greg Dulcich,MIA,TE,Tier T8,[🎯TARGET][TIER 8] FP: 78.1pts (VORP: -39.2) | OL: 2.5/5
202,Jalen Coker,CAR,WR,Tier T8,[🎯TARGET][TIER 8] FP: 111.1pts (VORP: -40.0) | OL: 3.0/5
203,Cooper Kupp,SEA,WR,Tier T8,[TIER 11] FP: 121.6pts (VORP: -41.9) | OL: 3.5/5 | 2-WR: 47%
204,Jalen Nailor,LV,WR,Tier T8,[🎯TARGET][TIER 11] FP: 105.6pts (VORP: -42.0) | OL: 2.5/5
205,Aaron Jones Sr.,MIN,RB,Tier T8,[🚫AVOID][TIER 8][⚠️FOOL'S GOLD] FP: 145.8pts (VORP: -42.9) | OL: 4.0/5 | %RB1: 69% | Screen #5
206,Keenan Allen,IND,WR,Tier T8,[TIER 11] FP: 107.3pts (VORP: -43.1) | OL: 4.5/5
207,Jacoby Brissett,ARI,QB,Tier T8,[TIER 8] FP: 230.3pts (VORP: -43.6) | OL: 3.0/5
208,Bryce Young,CAR,QB,Tier T8,[TIER 8][💲CONTRACT] FP: 213.2pts (VORP: -43.7) | OL: 3.0/5
209,Ryan Flournoy,DAL,WR,Tier T8,[TIER 11] FP: 107.7pts (VORP: -45.0) | OL: 4.0/5
210,Terrance Ferguson,LAR,TE,Tier T8,[🎯TARGET][TIER 8] FP: 53.9pts (VORP: -45.2) | OL: 4.5/5
211,Colby Parkinson,LAR,TE,Tier T8,[TIER 8] FP: 72.7pts (VORP: -45.3) | OL: 4.5/5
212,Geno Smith,NYJ,QB,Tier T8,[TIER 8] FP: 222.9pts (VORP: -46.0) | OL: 3.0/5
213,Mike Gesicki,CIN,TE,Tier T8,[TIER 8] FP: 68.8pts (VORP: -46.1) | OL: 3.0/5
214,Aaron Rodgers,PIT,QB,Tier T8,[TIER 8] FP: 212.3pts (VORP: -46.3) | OL: 3.5/5
215,RJ Harvey,DEN,RB,Tier T8,[⚠️DIRTY 30][TIER 9][🥈SILVER] FP: 127.2pts (VORP: -46.7) | OL: 5.0/5 | %RB1: 56% | Screen #2 | Luck: -18.3pts
216,Makai Lemon,PHI,WR,Tier T8,[⚠️DIRTY 30][TIER 7] FP: 109.2pts (VORP: -46.8) | OL: 4.0/5
217,Cam Ward,TEN,QB,Tier T8,[TIER 5][🔥CATALYST] Weapon Upgrades + O/S Top 100 | FP: 209.8pts (VORP: -47.0) | OL: 2.0/5
218,Oronde Gadsden II,LAC,TE,Tier T8,[TIER 5] FP: 48.6pts (VORP: -48.1) | OL: 3.0/5
219,KC Concepcion,CLE,WR,Tier T8,[TIER 8] FP: 95.7pts (VORP: -48.2) | OL: 2.0/5 | 2-WR: 47%
220,Rashid Shaheed,SEA,WR,Tier T8,[💤SLEEPER][TIER 8] FP: 102.1pts (VORP: -48.3) | OL: 3.5/5 | 2-WR: 47%
221,Blake Corum,LAR,RB,Tier T8,[TIER 9][⭐TOP OFFENSE][⚠️FOOL'S GOLD] #1 Rams Offense - Most Undervalued Asset | FP: 133.7pts (VORP: -48.4) | OL: 4.5/5 | %RB1: 76%
222,Mason Taylor,NYJ,TE,Tier T8,[TIER 8] FP: 69.6pts (VORP: -49.6) | OL: 3.0/5
223,Dontayvion Wicks,PHI,WR,Tier T8,[TIER 10] FP: 107.8pts (VORP: -49.7) | OL: 4.0/5
224,Michael Mayer,LV,TE,Tier T8,[TIER 8] FP: 73.9pts (VORP: -50.6) | OL: 2.5/5
225,Caleb Douglas,MIA,WR,Tier T8,[TIER 13] FP: 91.6pts (VORP: -51.7) | OL: 2.5/5
226,Kyle Monangai,CHI,RB,Tier T8,[TIER 9][⚠️FOOL'S GOLD] FP: 129.7pts (VORP: -51.9) | OL: 4.0/5 | %RB1: 63%
227,Jonathon Brooks,CAR,RB,Tier T8,[💥EXODIA][TIER 8] FP: 129.1pts (VORP: -51.9) | OL: 3.0/5 | %RB1: 79%
228,Theo Johnson,NYG,TE,Tier T8,[TIER 8] FP: 67.4pts (VORP: -52.3) | OL: 3.0/5
229,Jerry Jeudy,CLE,WR,Tier T8,[🎯TARGET][TIER 10] FP: 101.5pts (VORP: -52.9) | OL: 2.0/5 | 2-WR: 47%
230,Darnell Washington,PIT,TE,Tier T8,[TIER 8] FP: 64.5pts (VORP: -53.6) | OL: 3.5/5
231,Jalen McMillan,TB,WR,Tier T8,[🎯TARGET][TIER 10] FP: 107.9pts (VORP: -53.8) | OL: 4.0/5
232,Cole Kmet,CHI,TE,Tier T8,[TIER 8] FP: 65.0pts (VORP: -54.5) | OL: 4.0/5
233,Dawson Knox,BUF,TE,Tier T8,[TIER 9] FP: 65.2pts (VORP: -54.6) | OL: 4.5/5
234,J.K. Dobbins,DEN,RB,Tier T8,[⚠️DIRTY 30][TIER 8][⚠️FOOL'S GOLD] FP: 107.9pts (VORP: -54.9) | OL: 5.0/5 | %RB1: 56% | Screen #2
235,DeMario Douglas,NE,WR,Tier T8,[TIER 13] OL: 3.0/5
236,Rachaad White,WAS,RB,Tier T8,[🚫AVOID][TIER 9][🥈SILVER] FP: 121.7pts (VORP: -56.3) | OL: 2.0/5 | %RB1: 65%
237,David Njoku,LAC,TE,Tier T8,[TIER 8] FP: 55.6pts (VORP: -57.1) | OL: 3.0/5
238,Rashod Bateman,BAL,WR,Tier T8,[TIER 11] FP: 93.6pts (VORP: -57.2) | OL: 3.0/5 | 2-WR: 60%
239,Darren Waller,CAR,TE,Tier T8,[TIER 8] FP: 51.6pts (VORP: -57.8) | OL: 3.0/5
240,Malik Washington,MIA,WR,Tier T8,[TIER 11] FP: 80.7pts (VORP: -57.8) | OL: 2.5/5
241,Erick All Jr.,CIN,TE,Tier T8,[TIER 9] OL: 3.0/5
242,Noah Gray,KC,TE,Tier T8,[TIER 9] FP: 48.3pts (VORP: -59.1) | OL: 3.0/5
243,Denzel Boston,CLE,WR,Tier T8,[🎯TARGET][TIER 9] FP: 86.5pts (VORP: -59.3) | OL: 2.0/5 | 2-WR: 47%
244,Tyler Higbee,LAR,TE,Tier T8,[TIER 8] FP: 53.7pts (VORP: -60.4) | OL: 4.5/5
245,Jauan Jennings,MIN,WR,Tier T8,[TIER 10] FP: 92.6pts (VORP: -61.6) | OL: 4.0/5
246,Jacory Croskey-Merritt,WAS,RB,Tier T8,[🟡PASS][TIER 9][⚠️FOOL'S GOLD] FP: 105.3pts (VORP: -62.8) | OL: 2.0/5 | %RB1: 65%
247,Elijah Arroyo,SEA,TE,Tier T8,[TIER 8] FP: 44.8pts (VORP: -63.1) | OL: 3.5/5 | 2-WR: 47%
248,Tre' Harris,LAC,WR,Tier T8,[💤SLEEPER][TIER 10] FP: 81.3pts (VORP: -63.2) | OL: 3.0/5
249,Kayshon Boutte,HOU,WR,Tier T8,[TIER 11] FP: 86.4pts (VORP: -63.9) | OL: 3.0/5
250,Noah Fant,NO,TE,Tier T8,[TIER 9] FP: 48.7pts (VORP: -64.5) | OL: 3.0/5
251,Adonai Mitchell,NYJ,WR,Tier T8,[TIER 9] FP: 95.7pts (VORP: -66.0) | OL: 3.0/5
252,Jordyn Tyson,NO,WR,Tier T8,[⚠️DIRTY 30][TIER 8] FP: 84.0pts (VORP: -66.3) | OL: 3.0/5
253,Devaughn Vele,NO,WR,Tier T8,[TIER 12] FP: 89.9pts (VORP: -66.4) | OL: 3.0/5
254,Calvin Ridley,TEN,WR,Tier T8,[TIER 11] FP: 90.9pts (VORP: -67.1) | OL: 2.0/5
255,Tyjae Spears,TEN,RB,Tier T8,[💤SLEEPER][TIER 8] FP: 110.2pts (VORP: -67.6) | OL: 2.0/5 | %RB1: 59%
256,De'Zhaun Stribling,SF,WR,Tier T8,[🎯TARGET][TIER 9] FP: 79.3pts (VORP: -67.6) | OL: 4.0/5 | 2-WR: 48%
257,Elijah Higgins,ARI,TE,Tier T8,[TIER 10] FP: 43.1pts (VORP: -69.9) | OL: 3.0/5
258,Daniel Bellinger,TEN,TE,Tier T8,[TIER 10] FP: 42.5pts (VORP: -70.6) | OL: 2.0/5
259,Jake Tonges,SF,TE,Tier T8,[TIER 8] FP: 42.6pts (VORP: -70.8) | OL: 4.0/5 | 2-WR: 48%
260,Austin Hooper,ATL,TE,Tier T8,[TIER 10] FP: 39.5pts (VORP: -71.6) | OL: 4.0/5 | 2-WR: 54%
261,Malachi Fields,NYG,WR,Tier T8,[TIER 12] FP: 76.0pts (VORP: -72.3) | OL: 3.0/5
262,Oscar Delp,NO,TE,Tier T8,[TIER 8] FP: 43.5pts (VORP: -72.6) | OL: 3.0/5
263,Tanner Hudson,CIN,TE,Tier T8,[TIER 12] FP: 39.0pts (VORP: -72.9) | OL: 3.0/5
264,Deshaun Watson,CLE,QB,Tier T8,[TIER 8] FP: 193.9pts (VORP: -73.5) | OL: 2.0/5 | 2-WR: 47%
265,Zach Charbonnet,SEA,RB,Tier T8,[💤SLEEPER][TIER 9][⭐TOP OFFENSE] #9 Seahawks Offense - Most Undervalued Asset | FP: 81.7pts (VORP: -74.5) | OL: 3.5/5 | %RB1: 77% | 2-WR: 47%
266,Tyquan Thornton,KC,WR,Tier T8,[TIER 12] FP: 69.2pts (VORP: -74.6) | OL: 3.0/5
267,Tommy Tremble,CAR,TE,Tier T8,[TIER 10] FP: 33.0pts (VORP: -74.8) | OL: 3.0/5
268,Pat Bryant,DEN,WR,Tier T8,[TIER 11] FP: 73.1pts (VORP: -74.9) | OL: 5.0/5
269,Omar Cooper Jr.,NYJ,WR,Tier T8,[TIER 11] FP: 79.3pts (VORP: -75.1) | OL: 3.0/5
270,KaVontae Turpin,DAL,WR,Tier T8,[TIER 14] FP: 86.7pts (VORP: -75.2) | OL: 4.0/5
271,Drew Sample,CIN,TE,Tier T8,[TIER 12] FP: 35.9pts (VORP: -75.2) | OL: 3.0/5
272,Chris Bell,MIA,WR,Tier T8,[TIER 12] OL: 2.5/5
273,Adam Trautman,DEN,TE,Tier T8,[TIER 11] OL: 5.0/5
274,Andrei Iosivas,CIN,WR,Tier T8,[TIER 13] OL: 3.0/5
275,Marlin Klein,HOU,TE,Tier T8,[TIER 10] OL: 3.0/5
276,John Bates,WAS,TE,Tier T8,[TIER 10] OL: 2.0/5
277,Josh Oliver,MIN,TE,Tier T8,[TIER 11] FP: 33.2pts (VORP: -77.2) | OL: 4.0/5
278,Travis Hunter,JAC,WR,Tier T8,[TIER 11] OL: 4.0/5
279,Will Kacmarek,MIA,TE,Tier T8,[TIER 11] FP: 32.9pts (VORP: -77.5) | OL: 2.5/5
280,Luke Musgrave,GB,TE,Tier T8,[TIER 9] OL: 2.0/5
281,Eli Raridon,NE,TE,Tier T8,[TIER 8] FP: 34.2pts (VORP: -78.2) | OL: 3.0/5
282,Jaylin Noel,HOU,WR,Tier T8,[TIER 11] FP: 83.5pts (VORP: -78.2) | OL: 3.0/5
283,Eli Stowers,PHI,TE,Tier T8,[TIER 8] OL: 4.0/5
284,Justice Hill,BAL,RB,Tier T8,[TIER 11] FP: 96.7pts (VORP: -78.4) | OL: 3.0/5 | %RB1: 63% | 2-WR: 60%
285,Ja'Tavion Sanders,CAR,TE,Tier T8,[TIER 9] FP: 29.3pts (VORP: -78.7) | OL: 3.0/5
286,Tank Dell,HOU,WR,Tier T8,[TIER 11][💲CONTRACT] FP: 73.3pts (VORP: -78.8) | OL: 3.0/5
287,Ja'Kobi Lane,BAL,WR,Tier T8,[TIER 12] FP: 70.8pts (VORP: -78.9) | OL: 3.0/5 | 2-WR: 60%
288,Isiah Pacheco,DET,RB,Tier T8,[🎯TARGET][TIER 9] FP: 113.7pts (VORP: -79.0) | OL: 3.5/5 | %RB1: 62%
289,Keaton Mitchell,LAC,RB,Tier T8,[🎯TARGET][TIER 9] FP: 101.6pts (VORP: -79.0) | OL: 3.0/5 | %RB1: 66%
290,Ben Sinnott,WAS,TE,Tier T8,[TIER 9] OL: 2.0/5
291,Woody Marks,HOU,RB,Tier T8,[TIER 8] FP: 79.9pts (VORP: -79.7) | OL: 3.0/5 | %RB1: 52%
292,Kendrick Bourne,ARI,WR,Tier T8,[TIER 13] FP: 75.6pts (VORP: -79.9) | OL: 3.0/5
293,Tommy Myers,FA,TE,Tier T8,[TIER 11]
294,Troy Franklin,DEN,WR,Tier T8,[💤SLEEPER][TIER 12] OL: 5.0/5
295,Xavier Legette,CAR,WR,Tier T8,[TIER 12] FP: 70.8pts (VORP: -81.9) | OL: 3.0/5
296,Darius Slayton,NYG,WR,Tier T8,[TIER 12] OL: 3.0/5
297,Marvin Mims Jr.,DEN,WR,Tier T8,[TIER 12] FP: 80.6pts (VORP: -82.2) | OL: 5.0/5
298,Isaac TeSlaa,DET,WR,Tier T8,[TIER 11] FP: 67.0pts (VORP: -82.9) | OL: 3.5/5
299,Cade Stover,HOU,TE,Tier T8,[TIER 12] OL: 3.0/5
300,Jackson Hawes,BUF,TE,Tier T8,[TIER 10] OL: 4.5/5
301,Jahan Dotson,ATL,WR,Tier T8,[TIER 13] FP: 65.8pts (VORP: -83.3) | OL: 4.0/5 | 2-WR: 54%
302,Luke Schoonmaker,DAL,TE,Tier T8,[TIER 11] OL: 4.0/5
303,Nate Boerkircher,JAC,TE,Tier T8,[TIER 11] OL: 4.0/5
304,Matt Hibner,BAL,TE,Tier T8,[TIER 10] OL: 3.0/5 | 2-WR: 60%
305,Germie Bernard,PIT,WR,Tier T8,[TIER 11] FP: 68.6pts (VORP: -85.0) | OL: 3.5/5
306,Michael Trigg,DAL,TE,Tier T8,[TIER 12] OL: 4.0/5
306,Taysom Hill,FA,TE,Tier T8,[TIER 13]
308,Jordan Mason,MIN,RB,Tier T8,[🎯TARGET][TIER 9][⚠️FOOL'S GOLD] FP: 68.4pts (VORP: -85.2) | OL: 4.0/5 | %RB1: 69% | Screen #5
309,Chris Rodriguez Jr.,JAC,RB,Tier T8,[🎯TARGET][TIER 8] FP: 72.4pts (VORP: -85.2) | OL: 4.0/5 | %RB1: 62% | Screen #1
310,Dylan Sampson,CLE,RB,Tier T8,[🎯TARGET][TIER 9] FP: 93.4pts (VORP: -85.6) | OL: 2.0/5 | %RB1: 58% | 2-WR: 47%
311,Ted Hurst III,TB,WR,Tier T8,[TIER 12] OL: 4.0/5
312,Zach Ertz,FA,TE,Tier T8,[TIER 11]
313,Tyler Allgeier,ARI,RB,Tier T8,[TIER 8] FP: 85.1pts (VORP: -87.5) | OL: 3.0/5 | %RB1: 60%
314,Max Klare,LAR,TE,Tier T8,[TIER 9] OL: 4.5/5
315,Keon Coleman,BUF,WR,Tier T8,[TIER 12] FP: 63.9pts (VORP: -87.8) | OL: 4.5/5
316,Zachariah Branch,ATL,WR,Tier T8,[TIER 12] OL: 4.0/5 | 2-WR: 54%
317,Mitchell Evans,CAR,TE,Tier T8,[TIER 10] OL: 3.0/5
318,Xavier Hutchinson,HOU,WR,Tier T8,[TIER 13] OL: 3.0/5
319,Elic Ayomanor,TEN,WR,Tier T8,[TIER 12] OL: 2.0/5
320,Samaje Perine,CIN,RB,Tier T8,[TIER 11] FP: 84.4pts (VORP: -91.7) | OL: 3.0/5 | %RB1: 75%
321,Kalif Raymond,CHI,WR,Tier T8,[TIER 14] OL: 4.0/5
322,Brian Robinson Jr.,ATL,RB,Tier T8,[TIER 9] FP: 83.5pts (VORP: -92.7) | OL: 4.0/5 | %RB1: 59% | 2-WR: 54% | Screen #3
323,Tory Horton,SEA,WR,Tier T8,[TIER 12] OL: 3.5/5 | 2-WR: 47%
324,Ty Johnson,BUF,RB,Tier T8,[TIER 11] FP: 90.9pts (VORP: -94.8) | OL: 4.5/5 | %RB1: 66%
325,Mike Washington Jr.,LV,RB,Tier T8,[🎯TARGET][TIER 10] FP: 80.0pts (VORP: -95.2) | OL: 2.5/5 | %RB1: 70%
326,Jalen Tolbert,MIA,WR,Tier T8,[TIER 13] OL: 2.5/5
327,Fernando Mendoza,LV,QB,Tier T8,[TIER 8] FP: 155.1pts (VORP: -96.0) | OL: 2.5/5
328,Justin Joly,DEN,TE,Tier T8,[TIER 9] OL: 5.0/5
328,Tanner Koziol,JAC,TE,Tier T8,[TIER 10] OL: 4.0/5
328,Sam Roush,CHI,TE,Tier T8,[TIER 11] OL: 4.0/5
331,Jack Bech,LV,WR,Tier T8,[TIER 12] OL: 2.5/5
332,Joshua Palmer,BUF,WR,Tier T8,[TIER 14] OL: 4.5/5
333,Cyrus Allen,KC,WR,Tier T8,[TIER 13] OL: 3.0/5
334,Tyreek Hill,FA,WR,Tier T8,[TIER 13]
335,Jonnu Smith,FA,TE,Tier T8,[TIER 11] FP: 4.0pts (VORP: -99.0)
336,Brandon Aiyuk,SF,WR,Tier T8,[💤SLEEPER][TIER 13] OL: 4.0/5 | 2-WR: 48%
337,Alvin Kamara,NO,RB,Tier T8,[TIER 9] FP: 66.9pts (VORP: -100.9) | OL: 3.0/5 | %RB1: 66%
338,Tyrone Tracy Jr.,NYG,RB,Tier T8,[TIER 9] FP: 64.5pts (VORP: -101.4) | OL: 3.0/5 | %RB1: 56%
339,Luke McCaffrey,WAS,WR,Tier T8,[TIER 13] OL: 2.0/5
340,Chimere Dike,TEN,WR,Tier T8,[TIER 12] OL: 2.0/5
341,MarShawn Lloyd,GB,RB,Tier T8,[🎯TARGET][TIER 10] FP: 67.0pts (VORP: -102.3) | OL: 2.0/5 | %RB1: 67%
342,Jonah Coleman,DEN,RB,Tier T8,[🎯TARGET][TIER 9] FP: 69.8pts (VORP: -103.3) | OL: 5.0/5 | %RB1: 56% | Screen #2
343,Darnell Mooney,NYG,WR,Tier T8,[TIER 12] OL: 3.0/5
344,Jacob Cowing,SF,WR,Tier T8,[TIER 14] OL: 4.0/5 | 2-WR: 48%
345,Chris Brazzell II,CAR,WR,Tier T8,[TIER 13] OL: 3.0/5
346,Jaydon Blue,DAL,RB,Tier T8,[TIER 10] FP: 76.0pts (VORP: -105.8) | OL: 4.0/5 | %RB1: 67%
347,Treylon Burks,WAS,WR,Tier T8,[TIER 13] OL: 2.0/5
348,Kevin Coleman Jr.,MIA,WR,Tier T8,[TIER 14] OL: 2.5/5
349,Antonio Williams,WAS,WR,Tier T8,[TIER 12] OL: 2.0/5
350,Christian Kirk,SF,WR,Tier T8,[TIER 12] OL: 4.0/5 | 2-WR: 48%
351,Michael Penix Jr.,ATL,QB,Tier T8,[TIER 8] FP: 118.5pts (VORP: -107.3) | OL: 4.0/5 | 2-WR: 54%
352,Mack Hollins,NE,WR,Tier T8,[TIER 13] OL: 3.0/5
353,Tua Tagovailoa,ATL,QB,Tier T8,[TIER 8] FP: 127.3pts (VORP: -110.1) | OL: 4.0/5 | 2-WR: 54%
354,Ashton Dulin,IND,WR,Tier T8,[TIER 14] OL: 4.5/5
355,Devontez Walker,BAL,WR,Tier T8,[TIER 14] OL: 3.0/5 | 2-WR: 60%
356,Kirk Cousins,LV,QB,Tier T8,[TIER 8] FP: 111.7pts (VORP: -111.1) | OL: 2.5/5
357,Olamide Zaccheaus,ATL,WR,Tier T8,[TIER 13] OL: 4.0/5 | 2-WR: 54%
358,Tank Bigsby,PHI,RB,Tier T8,[🎯TARGET][TIER 9] FP: 48.3pts (VORP: -111.7) | OL: 4.0/5 | %RB1: 67%
359,Malik Benson,LV,WR,Tier T8,[TIER 14] OL: 2.5/5
360,Kyle Williams,NE,WR,Tier T8,[TIER 13] OL: 3.0/5
361,Najee Harris,NYG,RB,Tier T8,[TIER 11] FP: 57.1pts (VORP: -113.7) | OL: 3.0/5 | %RB1: 56%
362,Hollywood Brown,PHI,WR,Tier T8,[TIER 13] OL: 4.0/5
363,John Metchie III,CAR,WR,Tier T8,[TIER 14] OL: 3.0/5
364,Brenen Thompson,LAC,WR,Tier T8,[TIER 13] OL: 3.0/5
365,Braelon Allen,NYJ,RB,Tier T8,[TIER 9] FP: 43.6pts (VORP: -116.6) | OL: 3.0/5 | %RB1: 61%
366,Roman Wilson,PIT,WR,Tier T8,[TIER 14] OL: 3.5/5
367,George Holani,SEA,RB,Tier T8,[TIER 11] FP: 54.0pts (VORP: -118.1) | OL: 3.5/5 | %RB1: 77% | 2-WR: 47%
368,Emmett Johnson,KC,RB,Tier T8,[TIER 10] FP: 63.9pts (VORP: -118.5) | OL: 3.0/5 | %RB1: 55%
369,Konata Mumpfield,LAR,WR,Tier T8,[TIER 13] OL: 4.5/5
370,LeQuint Allen Jr.,JAC,RB,Tier T8,[TIER 11] FP: 55.9pts (VORP: -118.6) | OL: 4.0/5 | %RB1: 62% | Screen #1
371,Colbie Young,CIN,WR,Tier T8,[TIER 14] OL: 3.0/5
372,Isaiah Davis,NYJ,RB,Tier T8,[TIER 11] FP: 60.5pts (VORP: -119.8) | OL: 3.0/5 | %RB1: 61%
373,Ray Davis,BUF,RB,Tier T8,[🎯TARGET][TIER 10] FP: 46.2pts (VORP: -119.8) | OL: 4.5/5 | %RB1: 66%
374,Trey Benson,ARI,RB,Tier T8,[TIER 12] OL: 3.0/5 | %RB1: 60%
375,Zavion Thomas,CHI,WR,Tier T8,[TIER 14] OL: 4.0/5
376,Jaylen Wright,MIA,RB,Tier T8,[TIER 11] FP: 55.9pts (VORP: -121.5) | OL: 2.5/5 | %RB1: 73%
377,Jordan Whittington,LAR,WR,Tier T8,[TIER 14] OL: 4.5/5
378,Malik Davis,DAL,RB,Tier T8,[TIER 11] OL: 4.0/5 | %RB1: 67%
379,Dyami Brown,WAS,WR,Tier T8,[TIER 14] OL: 2.0/5
380,Isaiah Bond,CLE,WR,Tier T8,[TIER 13] OL: 2.0/5 | 2-WR: 47%
381,Emari Demercado,KC,RB,Tier T8,[TIER 12] OL: 3.0/5 | %RB1: 55%
382,Bryce Lance,NO,WR,Tier T8,[TIER 13] OL: 3.0/5
383,Chris Brooks,GB,RB,Tier T8,[TIER 11] FP: 52.0pts (VORP: -123.9) | OL: 2.0/5 | %RB1: 67%
384,Kaytron Allen,WAS,RB,Tier T8,[TIER 10] FP: 54.2pts (VORP: -124.0) | OL: 2.0/5 | %RB1: 65%
385,Barion Brown,NO,WR,Tier T8,[TIER 14] OL: 3.0/5
386,Jahdae Walker,CHI,WR,Tier T8,[TIER 14] OL: 4.0/5
387,Lew Nichols III,PIT,RB,Tier T8,[TIER 14] OL: 3.5/5 | %RB1: 69%
387,Kenny McIntosh,FA,RB,Tier T8,[TIER 14] %RB1: 50%
387,Miles Davis,CAR,RB,Tier T8,[TIER 14] OL: 3.0/5 | %RB1: 79%
387,Miles Sanders,FA,RB,Tier T8,[TIER 14] %RB1: 50%
387,Cash Jones,ATL,RB,Tier T8,[TIER 14] OL: 4.0/5 | %RB1: 59% | 2-WR: 54% | Screen #3
387,Jaydn Ott,KC,RB,Tier T8,[TIER 14] OL: 3.0/5 | %RB1: 55%
387,Kene Nwangwu,NYJ,RB,Tier T8,[TIER 14] OL: 3.0/5 | %RB1: 61%
387,Ty Chandler,NO,RB,Tier T8,[TIER 14] OL: 3.0/5 | %RB1: 66%
395,Tutu Atwell,MIA,WR,Tier T8,[TIER 14] OL: 2.5/5
396,Skyler Bell,BUF,WR,Tier T8,[TIER 13] OL: 4.5/5
397,Kalel Mullings,TEN,RB,Tier T8,[TIER 14] OL: 2.0/5 | %RB1: 59%
397,Noah Whittington,HOU,RB,Tier T8,[TIER 13] OL: 3.0/5 | %RB1: 52%
397,Jamal Haynes,CIN,RB,Tier T8,[TIER 14] OL: 3.0/5 | %RB1: 75%
400,Demond Claiborne,MIN,RB,Tier T8,[TIER 11] FP: 59.7pts (VORP: -126.0) | OL: 4.0/5 | %RB1: 69% | Screen #5
401,Tez Johnson,TB,WR,Tier T8,[TIER 13] OL: 4.0/5
402,Savion Williams,GB,WR,Tier T8,[TIER 14] OL: 2.0/5
403,Tai Felton,MIN,WR,Tier T8,[TIER 14] OL: 4.0/5
404,Tim Patrick,NYJ,WR,Tier T8,[TIER 14] OL: 3.0/5
405,Deion Burks,IND,WR,Tier T8,[TIER 14] OL: 4.5/5
406,Demarcus Robinson,SF,WR,Tier T8,[TIER 14] OL: 4.0/5 | 2-WR: 48%
407,James Conner,ARI,RB,Tier T8,[TIER 10] FP: 39.2pts (VORP: -127.8) | OL: 3.0/5 | %RB1: 60%
408,Cedric Tillman,CLE,WR,Tier T8,[TIER 13] OL: 2.0/5 | 2-WR: 47%
409,Nick Westbrook-Ikhine,IND,WR,Tier T8,[TIER 14] OL: 4.5/5
410,Jimmy Horn Jr.,CAR,WR,Tier T8,[TIER 14] OL: 3.0/5
411,Kaelon Black,SF,RB,Tier T8,[🎯TARGET][TIER 11] FP: 39.4pts (VORP: -130.6) | OL: 4.0/5 | %RB1: 77% | 2-WR: 48%
412,Isaiah Williams,NYJ,WR,Tier T8,[TIER 14] OL: 3.0/5
413,Adam Randall,BAL,RB,Tier T8,[TIER 12] OL: 3.0/5 | %RB1: 63% | 2-WR: 60%
414,Elijah Sarratt,BAL,WR,Tier T8,[TIER 12] OL: 3.0/5 | 2-WR: 60%
415,Greg Dortch,DET,WR,Tier T8,[TIER 14] OL: 3.5/5
416,Ollie Gordon II,MIA,RB,Tier T8,[TIER 11] FP: 47.1pts (VORP: -133.3) | OL: 2.5/5 | %RB1: 73%
417,Jordan James,SF,RB,Tier T8,[TIER 11] FP: 40.7pts (VORP: -133.7) | OL: 4.0/5 | %RB1: 77% | 2-WR: 48%
418,Brashard Smith,KC,RB,Tier T8,[TIER 12] FP: 46.2pts (VORP: -134.2) | OL: 3.0/5 | %RB1: 55%
419,Kimani Vidal,LAC,RB,Tier T8,[TIER 10] FP: 30.6pts (VORP: -134.5) | OL: 3.0/5 | %RB1: 66%
420,Seth McGowan,IND,RB,Tier T8,[TIER 12] FP: 43.8pts (VORP: -135.7) | OL: 4.5/5 | %RB1: 69%
421,Lil'Jordan Humphrey,DEN,WR,Tier T8,[TIER 14] OL: 5.0/5
422,Dont'e Thornton Jr.,LV,WR,Tier T8,[TIER 14] OL: 2.5/5
423,Jaylin Lane,WAS,WR,Tier T8,[TIER 14] OL: 2.0/5
