player_name,clean_name,duracell_ecr,duracell_tier,duracell_tier_tag,risk_rating,volatility_index,is_contract_year,contract_year_value,contract_prev_ppg,rb_tough_matchups,rb_playoff_toughness,wr_shadow_cb_count,wr_coverage_score
Chuba Hubbard,chuba hubbard,93,6,fade,4.2,High (Overpriced Bust Risk),0,0,,3.0,1.0,,
RJ Harvey,rj harvey,94,6,fade,4.2,High (Overpriced Bust Risk),0,0,,,,,
Rico Dowdle,rico dowdle,95,6,consensus,2.5,Medium,0,0,,,,,
Parker Washington,parker washington,96,6,consensus,2.5,Medium,1,0,11.5,,,,
Brian Thomas Jr.,brian thomas jr,97,6,consensus,2.5,Medium,0,0,,,,,2.0
Justin Herbert,justin herbert,98,6,guy,1.6,Low (High Floor Alpha),0,0,,,,,
Chris Godwin Jr.,chris godwin jr,99,6,consensus,2.5,Medium,0,0,,,,,
Xavier Worthy,xavier worthy,100,6,consensus,2.5,Medium,0,0,,,,,
Dak Prescott,dak prescott,101,7,consensus,2.5,Medium,0,0,,,,,
Jonathon Brooks,jonathon brooks,102,7,guy,1.6,Low (High Floor Alpha),0,0,,,,,
Caleb Williams,caleb williams,103,7,consensus,2.5,Medium,0,0,,,,,
Jordan Addison,jordan addison,104,7,consensus,2.5,Medium,1,0,9.7,,,,
Matthew Golden,matthew golden,105,7,consensus,2.5,Medium,0,0,,,,,
Romeo Doubs,romeo doubs,106,7,consensus,2.5,Medium,0,0,,,,,
Tyler Shough,tyler shough,107,7,dragon,3.8,High (Elite Ceiling),0,0,,,,,
Patrick Mahomes II,patrick mahomes ii,108,7,consensus,2.5,Medium,0,0,,,,,
Kyler Murray,kyler murray,109,7,consensus,2.5,Medium,0,0,,,,,
Blake Corum,blake corum,110,7,consensus,2.5,Medium,0,0,,,,,
Kyle Monangai,kyle monangai,111,7,consensus,2.5,Medium,0,0,,,,,
KC Concepcion,kc concepcion,112,7,consensus,2.5,Medium,0,0,,,,,
Chig Okonkwo,chig okonkwo,113,7,dragon,3.8,High (Elite Ceiling),0,0,,,,,
Travis Kelce,travis kelce,114,7,fade,4.2,High (Overpriced Bust Risk),0,0,,,,,
Jake Ferguson,jake ferguson,115,7,fade,4.2,High (Overpriced Bust Risk),0,0,,,,,
Bo Nix,bo nix,116,7,consensus,2.5,Medium,0,0,,,,,
Jayden Reed,jayden reed,117,7,fade,4.2,High (Overpriced Bust Risk),0,0,,,,,
Aaron Jones,aaron jones,118,7,consensus,2.5,Medium,0,0,,1.0,1.0,,
Jordan Mason,jordan mason,119,7,consensus,2.5,Medium,0,0,,,,,
Stefon Diggs,stefon diggs,120,7,consensus,2.5,Medium,0,0,,,,,
Jalen Coker,jalen coker,121,7,consensus,2.5,Medium,0,0,,,,,
Jalen Nailor,jalen nailor,122,7,guy,1.6,Low (High Floor Alpha),0,0,,,,,2.0
Oronde Gadsden II,oronde gadsden ii,123,7,guy,1.6,Low (High Floor Alpha),0,0,,,,,
Rachaad White,rachaad white,124,7,consensus,2.5,Medium,0,0,,3.0,1.0,,
Chris Rodriguez Jr.,chris rodriguez jr,125,7,consensus,2.5,Medium,0,0,,,,,
Deebo Samuel Sr.,deebo samuel sr,126,7,consensus,2.5,Medium,0,0,,,,,
Denzel Boston,denzel boston,127,7,consensus,2.5,Medium,0,0,,,,,
Khalil Shakir,khalil shakir,128,7,consensus,2.5,Medium,0,0,,,,,
Antonio Williams,antonio williams,129,7,consensus,2.5,Medium,0,0,,,,,
Kenyon Sadiq,kenyon sadiq,130,7,consensus,2.5,Medium,0,0,,,,,
Dallas Goedert,dallas goedert,131,7,fade,4.2,High (Overpriced Bust Risk),0,0,,,,,
Baker Mayfield,baker mayfield,132,7,consensus,2.5,Medium,0,0,,,,,
Matthew Stafford,matthew stafford,133,7,fade,4.2,High (Overpriced Bust Risk),0,0,,,,,
Brandon Aiyuk,brandon aiyuk,134,7,consensus,2.5,Medium,0,0,,,,,
Malik Washington,malik washington,135,7,consensus,2.5,Medium,0,0,,,,,6.0
Zachariah Branch,zachariah branch,136,7,guy,1.6,Low (High Floor Alpha),0,0,,,,,
Tyrone Tracy Jr.,tyrone tracy jr,137,7,consensus,2.5,Medium,0,0,,,,,
Mark Andrews,mark andrews,138,7,consensus,2.5,Medium,0,0,,,,,
Isaiah Likely,isaiah likely,139,7,consensus,2.5,Medium,0,0,,,,,
Jordan Love,jordan love,140,7,consensus,2.5,Medium,0,0,,,,,
Jared Goff,jared goff,141,7,consensus,2.5,Medium,0,0,,,,,
Malik Willis,malik willis,142,7,consensus,2.5,Medium,0,0,,,,,
Woody Marks,woody marks,143,7,consensus,2.5,Medium,0,0,,,,,
Rashid Shaheed,rashid shaheed,144,7,consensus,2.5,Medium,0,0,,,,,
Jayden Higgins,jayden higgins,145,7,consensus,2.5,Medium,0,0,,,,,
Dalton Kincaid,dalton kincaid,146,7,fade,4.2,High (Overpriced Bust Risk),1,0,10.5,,,,
Greg Dulcich,greg dulcich,147,7,guy,1.6,Low (High Floor Alpha),0,0,,,,,
Aaron Rodgers,aaron rodgers,148,7,consensus,2.5,Medium,0,0,,,,,
Isiah Pacheco,isiah pacheco,149,7,consensus,2.5,Medium,0,0,,,,,
Brian Robinson Jr.,brian robinson jr,150,7,consensus,2.5,Medium,0,0,,,,,
James Cook,james cook,150,6,consensus,2.5,Medium,0,0,,5.0,1.0,,
Tank Dell,tank dell,150,6,consensus,2.5,Medium,1,0,,,,,
Bryce Young,bryce young,150,6,consensus,2.5,Medium,1,0,13.5,,,,
CJ Stroud,cj stroud,150,6,consensus,2.5,Medium,1,0,14.9,,,,
Jauan Jennings,jauan jennings,151,7,fade,4.2,High (Overpriced Bust Risk),0,0,,,,,
